Company,Product,TypeName,Inches,ScreenResolution,CPU_Company,CPU_Type,CPU_Frequency (GHz),RAM (GB),Memory,GPU_Company,GPU_Type,OpSys,Weight (kg),Price(INR)
Lenovo,IdeaPad 100S-14IBR,Notebook,14,1366x768,Intel,Celeron Dual Core N3060,1.6,2,32GB Flash Storage,Intel,HD Graphics 400,Windows 10,1.42,23221.74
Lenovo,Thinkpad Yoga,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,2.7,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.37,163896.9892
Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 7700HQ,2.8,16,1TB SSD,Nvidia,GeForce GTX 1050,Windows 10,2.06,223730.74
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 1050M,Windows 10,2.5,103425.34
HP,17-AK091ND (A9-9420/8GB/1TB/W10),Notebook,17,1600x900,AMD,A9-Series 9420,3,8,1TB HDD,AMD,Radeon R5,Windows 10,2.6,48579.134
Lenovo,ThinkPad X1,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,2.7,16,512GB SSD,Intel,HD Graphics 620,Windows 10,1.14,228487
Asus,ROG GL553VE-FY022,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,1TB HDD,Nvidia,GeForce GTX 1050 Ti,No OS,2.5,109020.94
Acer,Extensa EX2540,Notebook,15.6,1366x768,Intel,Core i3 6006U,2,4,500GB HDD,Intel,HD Graphics 520,Windows 10,2.4,41967
Lenovo,IdeaPad 100S-14IBR,Notebook,14,1366x768,Intel,Celeron Dual Core N3060,1.6,4,32GB Flash Storage,Intel,HD Graphics,Windows 10,1.43,25553.24
Acer,Swift 3,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,256GB SSD,Intel,Graphics 620,Windows 10,1.8,85705.94
Razer,Blade Pro,Gaming,14,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,256GB SSD,Nvidia,GeForce GTX 1060,Windows 10,1.95,242382.74
Toshiba,Portege Z30-C-16J,Notebook,13.3,Full HD 1920x1080,Intel,Core i5 6200U,2.3,8,256GB SSD,Intel,HD Graphics 520,Windows 10,1.2,113124.38
Lenovo,Thinkpad X270,Ultrabook,12.5,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.36,147723.84
Asus,ROG G701VI,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel,Core i7 6820HK,2.7,32,512GB SSD,Nvidia,GeForce GTX 1080,Windows 10,3.8,261034.74
Acer,A715-71G-59DH (i5-7300HQ/8GB/1TB/GeForce,Gaming,15.6,Full HD 1920x1080,Intel,Core i5 7300HQ,2.5,8,1TB HDD,Nvidia,GeForce GTX 1050,Linux,2.4,66121.34
Dell,XPS 13,Ultrabook,13.3,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,256GB SSD,Intel,UHD Graphics 620,Windows 10,1.2,135217.674
MSI,GL62M 7REX,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.2,111147.268
HP,250 G6,Notebook,15.6,1366x768,Intel,Core i3 6006U,2,4,500GB HDD,Intel,HD Graphics 520,No OS,1.86,34030.574
Toshiba,Tecra A50-D-11M,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,500GB HDD,Intel,HD Graphics 620,Windows 10,2,99228.64
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,256GB SSD,AMD,Radeon 530,Windows 10,2.2,85705.94
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8,16,256GB SSD +  2TB HDD,AMD,Radeon 530,Windows 10,2.2,105850.1
Lenovo,IdeaPad Y700-15ISK,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 6700HQ,2.6,8,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 960,Windows 10,3.31,111538.96
Dell,Alienware 17,Gaming,17.3,IPS Panel 4K Ultra HD 3840x2160,Intel,Core i7 7700HQ,2.8,32,512GB SSD +  1TB HDD,Nvidia,GeForce GTX 1070,Windows 10,4.42,293523.7262
Dell,Latitude E7470,Notebook,14,Full HD 1920x1080,Intel,Core i5 6300U,2.4,8,256GB SSD,Intel,HD Graphics 520,Windows 10,1.56,114616.54
Lenovo,Ideapad 320-15IAP,Notebook,15.6,1366x768,Intel,Celeron Dual Core N3350,1.1,4,500GB HDD,Intel,HD Graphics 500,Windows 10,2.2,39075.94
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 6200U,2.3,4,500GB HDD,Intel,HD Graphics 520,Windows 10,2.2,49894.1
HP,15-ay047nv (i3-6006U/6GB/1TB/Radeon,Notebook,15.6,1920x1080,Intel,Core i3 6006U,2,6,1TB HDD,AMD,Radeon R5 M430,Windows 10,2.04,50267.14
MSI,GP72VR Leopard,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 1060,Windows 10,2.7,138656.1702
Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel,Core i3 6100U,2.1,4,128GB SSD,Intel,HD Graphics 520,Windows 10,2.1,46443.48
Dell,Latitude 3580,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,1TB HDD,Intel,HD Graphics 620,Windows 10,2.06,89063.3
HP,15-bs012nv (i7-7500U/8GB/1TB/Radeon,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,1TB HDD,AMD,Radeon 530,Windows 10,2.1,69478.7
Toshiba,Tecra Z50-D-10E,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,256GB SSD,Intel,HD Graphics 620,Windows 10,2,117321.08
Acer,Aspire 3,Notebook,15.6,1366x768,Intel,Core i3 6006U,2,4,128GB SSD,Intel,HD Graphics 520,Linux,2.1,38423.12
Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel,Core i7 7600U,2.8,8,256GB SSD,Intel,Iris Plus Graphics 640,Windows 10 S,1.252,174195.691
Lenovo,V310-15ISK (i5-7200U/8GB/1TB,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,128GB SSD +  1TB HDD,AMD,Radeon R5 M430,Windows 10,1.9,76282.017
Lenovo,Yoga 720-13IKB,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 7200U,2.5,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.3,96430.84
Lenovo,IdeaPad 320-15AST,Notebook,15.6,1366x768,AMD,E-Series E2-9000,2.2,4,128GB SSD,AMD,Radeon R2 Graphics,Windows 10,2.2,32547.74
HP,Pavilion X360,2 in 1 Convertible,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i3 7100U,2.4,4,128GB SSD,Nvidia,GeForce 940MX,Windows 10,1.63,65188.74
MSI,GP62 7RDX,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,256GB SSD +  1TB HDD,Nvidia,GeForce GTX 1050,Windows 10,2.4,120678.44
Asus,Zenbook 3,Ultrabook,14,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.1,105850.1
HP,Chromebook X360,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel,Celeron Dual Core N3350,1.1,8,64GB Flash Storage,Intel,HD Graphics 500,Chrome OS,1.4,46163.7
LG,Gram 15Z975,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,512GB SSD,Intel,HD Graphics 620,Windows 10,1.09,214404.74
Acer,Aspire VX5-591G,Gaming,15.6,Full HD 1920x1080,Intel,Core i5 7300HQ,2.5,16,256GB SSD,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.5,121144.74
MSI,GV62M 7RD,Gaming,15.6,Full HD 1920x1080,Intel,Core i5 7300HQ,2.5,8,256GB SSD,Nvidia,GeForce GTX 1050,Windows 10,2.2,93064.154
Asus,L502NA-GO052T (N3350/4GB/128GB/W10),Notebook,15.6,1366x768,Intel,Celeron Dual Core N3350,1.1,4,128GB SSD,Intel,HD Graphics 500,Windows 10,1.86,39075.94
Dell,Alienware 15,Gaming,15.6,Full HD 1920x1080,Intel,Core i5 7300HQ,2.5,16,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 1060,Windows 10,3.21,191276.26
HP,17-bs000nv I3,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel,Core i3 6006U,2,4,256GB SSD,AMD,Radeon R5 520,Windows 10,2.5,65188.74
Lenovo,Yoga 730,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i7 8550U,1.8,8,512GB SSD,Intel,UHD Graphics 620,Windows 10,1.19,139796.74
Dell,Alienware 15,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7820HK,2.9,16,256GB SSD +  1TB HDD,Nvidia,GeForce GTX 1070,Windows 10,3.49,262410.325
HP,250 G6,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,4,500GB HDD,AMD,Radeon 520,Windows 10,1.86,57132.0086
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel,Core i3 6006U,2,4,1TB HDD,AMD,Radeon R5 M430,Windows 10,2.2,50889.1842
HP,17-Y002nv (A10-9600P/6GB/2TB/Radeon,Notebook,17.3,IPS Panel Full HD 1920x1080,AMD,A10-Series 9600P,2.4,6,2TB HDD,AMD,Radeon R7 M440,Windows 10,2.65,53064.94
Lenovo,V110-15ISK (3855U/4GB/500GB/W10),Notebook,15.6,1366x768,Intel,Celeron Dual Core 3855U,1.6,4,500GB HDD,Intel,HD Graphics 510,Windows 10,2.1,29656.68
Acer,Chromebook 14,Notebook,14,1366x768,Intel,Celeron Dual Core 3855U,1.6,4,32GB Flash Storage,Intel,HD Graphics 510,Chrome OS,1.45,34972.5
Lenovo,IdeaPad 520s-14IKB,Notebook,14,Full HD 1920x1080,Intel,Core i5 7200U,2.5,4,256GB SSD,Intel,HD Graphics 620,Windows 10,1.7,65188.74
HP,ZBook 17,Workstation,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,500GB HDD,Nvidia,Quadro M1200,Windows 10,3.14,177939.1474
Lenovo,ThinkPad X1,2 in 1 Convertible,14,Touchscreen 2560x1440,Intel,Core i7 7500U,2.7,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.42,241543.4
Toshiba,Satellite Pro,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.5,90741.98
Acer,TravelMate B117-M,Netbook,11.6,1366x768,Intel,Celeron Dual Core N3050,1.6,4,32GB Flash Storage,Intel,HD Graphics,Windows 10,1.4,25086.94
Lenovo,Yoga 910-13IKB,2 in 1 Convertible,14,Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,2.7,16,512GB SSD,Intel,HD Graphics 620,Windows 10,1.38,163111.74
Asus,Chromebook Flip,2 in 1 Convertible,12.5,Full HD / Touchscreen 1920x1080,Intel,Core M M3-6Y30,0.9,4,64GB Flash Storage,Intel,HD Graphics 515,Chrome OS,1.2,62390.94
Toshiba,Portege Z30T-C-133,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel,Core i7 6500U,2.5,16,512GB SSD,Intel,HD Graphics 520,Windows 10,1.36,175049.02
HP,15-bs011nv (i7-7500U/4GB/500GB/Radeon,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,2.7,4,500GB HDD,AMD,Radeon 530,Windows 10,2.1,64256.14
Dell,Inspiron 5577,Gaming,15.6,Full HD 1920x1080,Intel,Core i5 7300HQ,2.5,8,1TB HDD,Nvidia,GeForce GTX 1050,Windows 10,2.56,76379.94
Lenovo,IdeaPad 320-15AST,Notebook,15.6,Full HD 1920x1080,AMD,A9-Series 9420,2.9,4,256GB SSD,AMD,Radeon 530,Windows 10,2.2,37210.74
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,1366x768,AMD,A12-Series 9720P,3.6,8,1TB HDD,AMD,Radeon R7,Windows 10,2.2,40008.54
Lenovo,V310-15IKB (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,4,1TB HDD +  1TB HDD,Intel,HD Graphics 620,Windows 10,2.1,57956.427
Lenovo,V310-15ISK (i3-6006U/4GB/500GB/No,Notebook,15.6,1366x768,Intel,Core i3 6006U,2,4,500GB HDD,Intel,HD Graphics 520,No OS,1.9,41967
Dell,Vostro 5568,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,256GB SSD,Intel,HD Graphics 620,Windows 10,2.18,74141.7
Acer,Spin 5,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,1.6,8,256GB SSD,Intel,UHD Graphics 620,Windows 10,1.6,93166.74
Lenovo,ThinkPad P51s,Workstation,15.6,Full HD 1920x1080,Intel,Core i7 6500U,2.5,16,512GB SSD,Nvidia,Quadro M520M,Windows 7,2.18,172997.3
Lenovo,Thinkpad T460p,Notebook,14,Full HD 1920x1080,Intel,Core i5 6300HQ,2.3,8,256GB SSD,Intel,HD Graphics 520,Windows 10,1.8,111072.66
HP,17-ak002nv (A10-9620P/6GB/2TB/Radeon,Notebook,17.3,IPS Panel Full HD 1920x1080,AMD,A10-Series 9620P,2.5,6,2TB HDD,AMD,Radeon 530,Windows 10,2.71,61086.2326
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.5,116481.74
Dell,Latitude 5480,Notebook,14,Full HD 1920x1080,Intel,Core i5 7440HQ,2.8,8,256GB SSD,Nvidia,GeForce 930MX,Linux,1.64,101560.14
Dell,Vostro 5568,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,1TB HDD,Intel,HD Graphics 620,Linux,1.98,67706.76
Asus,VivoBook E403NA,Notebook,14,Full HD 1920x1080,Intel,Celeron Dual Core N3350,1.1,4,32GB Flash Storage,Intel,HD Graphics 500,Windows 10,1.5,27791.48
Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7300U,2.6,16,512GB SSD,Intel,HD Graphics 620,Windows 10,1.93,133050.3116
Lenovo,Thinkpad E470,Notebook,14,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,256GB SSD,Nvidia,GeForce 920MX,Windows 10,1.87,79930.3482
Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7300U,2.6,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.9,109953.54
Lenovo,110-15ACL (A6-7310/4GB/500GB/W10),Notebook,15.6,1366x768,AMD,A6-Series 7310,2,4,500GB HDD,AMD,Radeon R4,Windows 10,2.19,27791.48
Mediacom,Smartbook 142,Notebook,14,IPS Panel Full HD 1920x1200,Intel,Atom Z8350,1.92,4,32GB HDD,Intel,HD Graphics 400,Windows 10,1.4,24713.9
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,256GB SSD,Nvidia,GeForce 930MX,Windows 10,2.63,111912
Lenovo,ThinkPad X1,Ultrabook,14,IPS Panel Quad HD+ 2560x1440,Intel,Core i7 6500U,2.5,8,512GB SSD,Intel,HD Graphics 520,Windows 10,1.17,157296.0464
HP,Pavilion X360,2 in 1 Convertible,13.3,IPS Panel Touchscreen 1366x768,Intel,Core i5 7200U,2.5,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.58,78021.316
Lenovo,ThinkPad T470s,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.32,139796.74
Dell,Alienware 17,Gaming,17.3,4K Ultra HD 3840x2160,Intel,Core i7 7700HQ,2.8,32,1TB SSD +  1TB HDD,Nvidia,GeForce GTX 1070,Windows 10,4.36,341275.644
MSI,GL72M 7REX,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.7,125759.2448
Lenovo,V310-15IKB (i5-7200U/4GB/1TB/No,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,4,1TB HDD,Intel,HD Graphics 620,No OS,1.9,45688.074
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,128GB SSD +  1TB HDD,AMD,Radeon 530,Windows 10,2.2,67053.94
Dell,Inspiron 5378,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel,Core i3 7100U,2.4,4,1TB HDD,Intel,HD Graphics 620,Windows 10,1.71,60525.74
Dell,Inspiron 5567,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,8,1TB HDD,AMD,Radeon R7 M445,Linux,2.32,54978.6352
HP,15-BW037na (A9-9420/4GB/1TB/Radeon,Notebook,15.6,Full HD 1920x1080,AMD,A9-Series 9420,3,4,1TB HDD,AMD,Radeon 520,Windows 10,2.1,45604.14
Acer,Predator 17,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel,Core i7 6700HQ,2.6,16,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 1060,Windows 10,4.2,180458.1
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,12,1TB HDD,Intel,HD Graphics 620,Windows 10,2.25,60525.74
HP,15-BW091ND (A9-9420/6GB/1TB,Notebook,15.6,Full HD 1920x1080,AMD,A9-Series A9-9420,3,6,128GB SSD +  1TB HDD,AMD,Radeon 520,Windows 10,2.1,60619
Acer,Extensa EX2540-58KR,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,4,500GB HDD,Intel,HD Graphics 620,Windows 10,2.4,52132.34
Lenovo,ThinkPad 13,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.44,89529.6
Lenovo,V310-15IKB (i7-7500U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7,4,1TB HDD,Intel,HD Graphics 620,Windows 10,1.85,72649.54
HP,ZBook 15,Workstation,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,256GB SSD,Nvidia,Quadro M2200,Windows 10,2.6,225595.94
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,1.6,8,1TB HDD,Intel,UHD Graphics 620,Windows 10,1.55,61458.34
MSI,GS63VR 7RF,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,256GB SSD +  1TB HDD,Nvidia,GeForce GTX 1060,Windows 10,1.8,195331.2048
Acer,Aspire ES1-572,Notebook,15.6,1366x768,Intel,Core i3 6006U,2,4,500GB HDD,Intel,HD Graphics 520,Windows 10,2.4,38311.208
Dell,Inspiron 7560,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,128GB SSD +  1TB HDD,Nvidia,GeForce 940MX,Windows 10,2,112564.82
Dell,Vostro 3568,Notebook,15.6,1366x768,Intel,Core i3 6006U,2,8,256GB SSD,Intel,HD Graphics 520,Windows 10,2,62017.9
Toshiba,Tecra X40-D-10G,Notebook,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 7200U,2.5,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.25,143154.1
Lenovo,Flex 5,2 in 1 Convertible,14,Full HD / Touchscreen 1920x1080,Intel,Core i5 7200U,2.5,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.7,93166.74
Lenovo,Thinkpad P51s,Workstation,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel,Core i7 7600U,2.8,16,1TB SSD,Nvidia,Quadro M520M,Windows 10,2.5,307664.74
Acer,Chromebook 14,Notebook,14,1366x768,Intel,Celeron Dual Core N3060,1.6,2,32GB Flash Storage,Intel,HD Graphics 400,Chrome OS,1.68,30775.8
Samsung,Notebook 9,Ultrabook,13.3,Full HD 1920x1080,Intel,Core i7 7500U,2.7,16,256GB SSD,Intel,HD Graphics 620,Windows 10,0.81,153785.74
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2,8,256GB SSD,Intel,HD Graphics 520,Windows 10,1.86,50267.14
Dell,Latitude 5480,Notebook,14,1366x768,Intel,Core i5 7200U,2.5,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.6,105076.9746
HP,Zbook 17,Workstation,17.3,IPS Panel Full HD 1920x1080,Intel,Xeon E3-1535M v5,2.9,16,256GB SSD,Nvidia,Quadro M2000M,Windows 7,3,409318.14
Lenovo,N23 (N3060/4GB/128GB/W10),Netbook,11.6,Touchscreen 1366x768,Intel,Celeron Dual Core N3060,1.6,4,128GB SSD,Intel,HD Graphics 400,Windows 10,1.4,44298.5
HP,EliteBook 850,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 6300U,2.4,8,256GB SSD,Intel,HD Graphics 520,Windows 10,1.84,177194
Asus,X550VX-XX015D (i5-6300HQ/4GB/1TB/GeForce,Notebook,15.6,1366x768,Intel,Core i5 6300HQ,2.3,4,1TB HDD,Nvidia,GeForce GTX 950M,No OS,2.45,53997.54
Lenovo,Thinkpad T460,Ultrabook,14,Full HD 1920x1080,Intel,Core i5 6200U,2.3,4,180GB SSD,Intel,HD Graphics 520,Windows 10,1.7,102212.96
Asus,Pro P2540UA-XO0192R,Notebook,15.6,1366x768,Intel,Core i7 7500U,2.7,4,256GB SSD,Intel,HD Graphics 620,Windows 10,2.37,79261.674
Lenovo,Yoga 900-13ISK,2 in 1 Convertible,13.3,IPS Panel Quad HD+ / Touchscreen 3200x1800,Intel,Core i5 6260U,1.8,8,256GB SSD,Intel,HD Graphics 540,Windows 10,1.3,111818.74
HP,15-cb003na (i5-7300HQ/8GB/1TB,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 7300HQ,2.5,8,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 1050,Windows 10,2.2,102492.74
HP,ZBook 15,Workstation,15.6,Full HD 1920x1080,Intel,Core i7 6700HQ,2.6,8,256GB SSD,Nvidia,Quadro M1000M,Windows 7,2.59,145578.86
Dell,Alienware 17,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel,Core i7 7700HQ,2.8,16,256GB SSD +  1TB HDD,Nvidia,GeForce GTX 1070,Windows 10,4.42,267562.0074
Acer,Aspire 3,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,4,256GB SSD,Intel,HD Graphics 620,Windows 10,2.1,55862.74
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 1050,Windows 10,2.5,97736.48
Dell,Latitude 7280,Ultrabook,12.5,Full HD 1920x1080,Intel,Core i7 7600U,2.8,16,256GB SSD,Intel,HD Graphics 620,Windows 10,1.18,173370.34
Google,Pixelbook (Core,Ultrabook,12.3,Touchscreen 2400x1600,Intel,Core i5 7Y57,1.2,8,256GB SSD,Intel,HD Graphics 615,Chrome OS,1.1,145392.34
Asus,Zenbook UX330UA-AH5Q,Ultrabook,13.3,IPS Panel Quad HD+ 3200x1800,Intel,Core i5 7200U,2.5,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.2,105290.54
Dell,Latitude 3380,Notebook,13.3,1366x768,Intel,Core i3 6006U,2,4,500GB HDD,Intel,HD Graphics 520,Windows 10,1.65,79177.74
Acer,TravelMate P238-M,Notebook,13.3,1366x768,Intel,Core i5 6200U,2.3,4,128GB SSD,Intel,HD Graphics 520,Windows 10,1.6,61085.3
Asus,X751NV-TY001 (N4200/4GB/1TB/GeForce,Notebook,17.3,1366x768,Intel,Pentium Quad Core N4200,1.1,4,1TB HDD,Nvidia,GeForce 920MX,Windows 10,2.8,43863.9084
Dell,Inspiron 7559,Gaming,15.6,IPS Panel Touchscreen / 4K Ultra HD 3840x2160,Intel,Core i7 6700HQ,2.6,16,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 960M,Windows 10,2.72,102492.74
Samsung,Notebook 9,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,2.7,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.31,149122.74
Acer,Aspire A315-31,Notebook,15.6,1366x768,Intel,Pentium Quad Core N4200,1.1,4,1TB HDD,Intel,HD Graphics 505,Linux,2.1,27791.48
Dell,Inspiron 5567,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7,16,256GB SSD,AMD,Radeon R7 M445,Windows 10,2.3,110165.2402
Samsung,Notebook 9,2 in 1 Convertible,15,Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,2.7,16,256GB SSD,AMD,Radeon 540,Windows 10,1.71,167774.74
Toshiba,Tecra A40-C-1E5,Notebook,14,IPS Panel 1366x768,Intel,Core i5 6200U,2.3,4,128GB SSD,Intel,HD Graphics 520,Windows 10,1.75,95125.2
Dell,Inspiron 7567,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,1TB HDD,Nvidia,GeForce GTX 1050,Windows 10,2.62,102492.74
HP,EliteBook 820,Ultrabook,12.5,1366x768,Intel,Core i5 6200U,2.3,4,256GB SSD,Intel,HD Graphics 520,Windows 10,1.26,116015.44
Asus,Q524UQ-BHI7T15 (i7-7500U/12GB/2TB/GeForce,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,2.7,12,2TB HDD,Nvidia,GeForce 940MX,Windows 10,2.3,78245.14
Lenovo,Thinkpad P50,Notebook,15.6,4K Ultra HD 3840x2160,Intel,Core i7 6820HQ,2.7,16,512GB SSD,Nvidia,Quadro M2000M,Windows 7,2.5,221026.2
Acer,Swift 3,Notebook,14,IPS Panel Full HD 1920x1080,Intel,Core i3 7100U,2.4,4,128GB SSD,Intel,HD Graphics 620,Windows 10,1.8,59313.36
Razer,Blade Pro,Gaming,14,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,512GB SSD,Nvidia,GeForce GTX 1060,Windows 10,1.95,270360.74
Asus,Vivobook Max,Notebook,15.6,1920x1080,Intel,Pentium Dual Core N4200,1.1,8,128GB SSD,Intel,HD Graphics 505,Windows 10,2,54267.994
Dell,Alienware 17,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,32,1TB SSD +  1TB HDD,Nvidia,GeForce GTX 1070M,Windows 10,4.42,334691.488
Asus,Rog G752VS-BA171T,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel,Core i7 6700HQ,2.6,16,256GB SSD +  1TB HDD,Nvidia,GeForce GTX 1070,Windows 10,4.3,219161
