Company,Product,TypeName,Inches,ScreenResolution,CPU_Company,CPU_Type,CPU_Frequency (GHz),RAM (GB),Memory,GPU_Company,GPU_Type,OpSys,Weight (kg),Price(INR)
HP,ProBook 430,Notebook,13.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,512GB SSD,Intel,UHD Graphics 620,Windows 10,1.49,102865.78
Acer,Aspire 3,Notebook,15.6,1366x768,Intel,Core i3 7100U,2.4,4,1TB HDD,Intel,HD Graphics 620,Windows 10,2.4,35811.84
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,256GB SSD,AMD,Radeon 520,Windows 10,2.13,71605.028
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2,4,128GB SSD,Intel,HD Graphics 520,Windows 10,1.91,40941.14
Asus,VivoBook Max,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,4,256GB SSD,Intel,HD Graphics 620,Windows 10,2,54668.0794
MSI,GS73VR 7RG,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,256GB SSD +  2TB HDD,Nvidia,GeForce GTX 1070,Windows 10,2.43,228393.74
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2,4,256GB SSD,Intel,HD Graphics 520,Linux,2,38702.9
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8,16,256GB SSD +  2TB HDD,AMD,Radeon 530,Windows 10,2.8,121144.74
Dell,Vostro 5471,Ultrabook,14,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,256GB SSD,Intel,UHD Graphics 620,Windows 10,1.7,81975.54
Lenovo,IdeaPad 520S-14IKB,Notebook,14,IPS Panel Full HD 1920x1080,Intel,Core i3 7130U,2.7,8,256GB SSD,Intel,HD Graphics 620,No OS,1.7,55862.74
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,256GB SSD,Intel,UHD Graphics 620,Windows 10,1.4,87757.66
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.86,64349.4
Asus,ZenBook Pro,Ultrabook,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,512GB SSD,Nvidia,GeForce GTX 1050 Ti,Windows 10,1.8,184934.58
HP,250 G6,Notebook,15.6,1366x768,Intel,Core i3 6006U,2,4,500GB HDD,AMD,Radeon 520,Windows 10,1.86,40912.2294
HP,Stream 14-AX040wm,Notebook,14,1366x768,Intel,Celeron Dual Core N3060,1.6,4,32GB SSD,Intel,HD Graphics 400,Windows 10,1.44,21356.54
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,4,1TB HDD,Intel,HD Graphics 620,Windows 10,1.9,51199.74
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,12,1TB HDD,Nvidia,GeForce GTX 1050 Ti,Linux,3,88503.74
Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel,Core i5 7200U,2.5,4,128GB SSD,Intel,HD Graphics 620,Windows 10 S,1.252,101560.14
Dell,Inspiron 5370,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,256GB SSD,AMD,Radeon 530,Windows 10,1.4,89063.3
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,256GB SSD,AMD,Radeon 530,Windows 10,2.2,81136.2
MSI,GL72M 7RDX,Gaming,17.3,Full HD 1920x1080,Intel,Core i5 7300HQ,2.5,8,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 1050,Windows 10,2.7,102119.7
Acer,Aspire E5-475,Notebook,14,1366x768,Intel,Core i3 6006U,2,8,1TB HDD,Intel,HD Graphics 520,Windows 10,2.1,36278.14
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,1TB HDD,Nvidia,GeForce GTX 1050,Windows 10,2.2,88503.74
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,2TB HDD,Intel,HD Graphics 620,No OS,2.2,48401.94
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,128GB SSD +  1TB HDD,Intel,UHD Graphics 620,Windows 10,2.02,79737.3
Acer,Aspire A515-51G-32MX,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 7130U,2.7,4,1TB HDD,Nvidia,GeForce MX130,Windows 10,2.2,49427.8
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,128GB SSD +  1TB HDD,Nvidia,GeForce 930MX,Windows 10,2.5,91115.02
Dell,Latitude 5590,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,256GB SSD,Intel,UHD Graphics 620,Windows 10,1.88,102227.8816
Apple,"MacBook 12""",Ultrabook,12,IPS Panel Retina Display 2304x1440,Intel,Core i5,1.3,8,512GB SSD,Intel,HD Graphics 615,macOS,0.92,140822.6
HP,ProBook 440,Notebook,14,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.63,80203.6
Lenovo,IdeaPad 320-15AST,Notebook,15.6,Full HD 1920x1080,AMD,A6-Series 9220,2.5,4,128GB SSD,AMD,R4 Graphics,Windows 10,2.2,37210.74
Acer,Aspire 3,Notebook,15.6,1366x768,AMD,A9-Series 9420,3,4,1TB HDD,AMD,Radeon R5,Windows 10,2.1,36837.7
